r,parity_prefix_int,parity_prefix_bin,popcount
1,349525,01010101010101010101,10
27,908027,11011101101011111011,15
31,506719,01111011101101011111,15
47,777647,10111101110110101111,15
63,1013311,11110111011000111111,15
71,388823,01011110111011010111,14
91,759739,10111001011110111011,14
103,750327,10110111001011110111,14
111,999279,11110011111101101111,16
155,899451,11011011100101111011,14
159,346079,01010100011111011111,13
167,499639,01111001111110110111,15
223,949919,11100111111010011111,15
251,249819,00111100111111011011,14
283,293371,01000111100111111011,13
319,692031,10101000111100111111,13
327,178135,00101011011111010111,13
447,250815,00111101001110111111,14
495,896751,11011010111011101111,15
639,310143,01001011101101111111,14
667,946043,11100110111101111011,15
671,649695,10011110100111011111,14
703,753343,10110111111010111111,16
743,448375,01101101011101110111,14
751,118255,00011100110111101111,13
795,865275,11010011001111111011,14
871,392183,01011111101111110111,16
895,501375,01111010011001111111,14
927,850143,11001111100011011111,14
959,155071,00100101110110111111,13
991,744863,10110101110110011111,14
1007,324847,01001111010011101111,13
1051,597755,10010001111011111011,13
1055,376671,01011011111101011111,15
1115,748475,10110110101110111011,14
1263,241647,00111010111111101111,15
1279,619775,10010111010011111111,14
1307,196091,00101111110111111011,15
1343,250687,00111101001100111111,13
1383,1033719,11111100010111110111,15
1407,457855,01101111110001111111,15
1471,286655,01000101111110111111,14
1487,896719,11011010111011001111,14
1503,236447,00111001101110011111,13
1583,712623,10101101111110101111,15
1639,572663,10001011110011110111,13
1663,661375,10100001011101111111,13
1695,871903,11010100110111011111,14
1743,784335,10111111011111001111,16
1767,633719,10011010101101110111,13
1819,835579,11001011111111111011,16
1863,702935,10101011100111010111,13
1895,120823,00011101011111110111,14
1919,309887,01001011101001111111,13
1951,947423,11100111010011011111,14
1959,978615,11101110111010110111,15
2047,1021951,11111001011111111111,17
2111,753215,10110111111000111111,15
2151,1014519,11110111101011110111,16
2207,667615,10100010111111011111,14
2215,505783,01111011011110110111,15
2287,244719,00111011101111101111,15
2375,880599,11010110111111010111,15
2463,439007,01101011001011011111,13
2527,483231,01110101111110011111,15
2535,652919,10011111011001110111,14
2543,960239,11101010011011101111,14
2559,499199,01111001110111111111,16
2715,1042299,11111110011101111011,16
2751,1038015,11111101011010111111,16
2815,639743,10011100001011111111,13
2843,60411,00001110101111111011,13
2919,414711,01100101001111110111,13
2943,573055,10001011111001111111,14
3007,161215,00100111010110111111,13
3055,130287,00011111110011101111,14
3071,1035263,11111100101111111111,17
3099,603899,10010011011011111011,13
3175,655095,10011111111011110111,16
3227,507259,01111011110101111011,15
3231,670687,10100011101111011111,14
3311,858095,11010001011111101111,14
3323,252891,00111101101111011011,14
3355,349691,01010101010111111011,13
3391,695103,10101001101100111111,13
3399,881623,11010111001111010111,14
3431,646647,10011101110111110111,15
3519,731071,10110010011110111111,14
3567,899823,11011011101011101111,15
3631,718767,10101111011110101111,15
3711,368511,01011001111101111111,15
3739,949115,11100111101101111011,15
3751,375223,01011011100110110111,13
3791,241615,00111010111111001111,14
3823,121327,00011101100111101111,13
3839,773887,10111100111011111111,16
3867,886779,11011000011111111011,14
3931,474811,01110011111010111011,14
3943,581623,10001101111111110111,15
3951,636527,10011011011001101111,13
3999,556255,10000111110011011111,13
4095,987135,11110000111111111111,16
4123,969467,11101100101011111011,14
4127,519007,01111110101101011111,15
4207,1036143,11111100111101101111,16
4255,694239,10101001011111011111,14
4263,421815,01100110111110110111,14
4303,980431,11101111010111001111,15
4347,729051,10110001111111011011,14
4399,907951,11011101101010101111,14
4415,286527,01000101111100111111,13
4423,190423,00101110011111010111,13
4575,489375,01110111011110011111,15
4583,65143,00001111111001110111,13
4591,507631,01111011111011101111,16
4607,517631,01111110010111111111,16
4639,383327,01011101100101011111,13
4699,236987,00111001110110111011,13
4719,906607,11011101010101101111,14
4735,674687,10100100101101111111,13
4763,327547,01001111111101111011,15
4767,874975,11010101100111011111,14
4839,640887,10011100011101110111,13
4847,335343,01010001110111101111,13
4863,776959,10111101101011111111,16
4891,877563,11010110001111111011,14
4935,703959,10101011110111010111,14
4967,429047,01101000101111110111,13
5055,208319,00110010110110111111,13
