step,total_configs,distinct_words,new_words_in_window,current_word_length,max_word_length_so_far,elapsed_s
100000,100000,31265,31265,18,22,3.9
200000,200000,61255,29990,10,24,7.7
300000,300000,91320,30065,16,24,11.7
400000,400000,122767,31447,16,24,15.7
500000,500000,152499,29732,16,24,19.6
600000,600000,183360,30861,22,26,23.9
700000,700000,212990,29630,14,26,28.1
800000,800000,244342,31352,20,27,32.6
900000,900000,275351,31009,20,27,37.0
1000000,1000000,304699,29348,16,27,41.3
1100000,1100000,335924,31225,20,27,45.6
1200000,1200000,366155,30231,16,27,49.7
1300000,1300000,391219,25064,24,27,54.0
1400000,1400000,422116,30897,15,28,58.6
1500000,1500000,453155,31039,21,28,63.4
1600000,1600000,483280,30125,24,28,67.8
1700000,1700000,513964,30684,17,28,72.4
1800000,1800000,545225,31261,16,28,76.8
1900000,1900000,575799,30574,15,28,81.6
2000000,2000000,606570,30771,24,29,86.6
2100000,2100000,637261,30691,21,29,91.4
2200000,2200000,668693,31432,22,29,96.2
2300000,2300000,699640,30947,22,29,101.0
2400000,2400000,729875,30235,25,29,105.8
2500000,2500000,761096,31221,21,29,110.7
2600000,2600000,792220,31124,20,29,115.4
2700000,2700000,821942,29722,17,29,120.0
2800000,2800000,853073,31131,11,29,124.7
2900000,2900000,884313,31240,17,29,129.7
3000000,3000000,914791,30478,24,30,134.7
3100000,3100000,945553,30762,20,30,139.7
3200000,3200000,977012,31459,23,30,144.5
3300000,3300000,1007116,30104,22,30,149.1
3400000,3400000,1037277,30161,20,30,153.7
3500000,3500000,1067491,30214,19,30,158.5
3600000,3600000,1098751,31260,20,30,163.3
3700000,3700000,1129807,31056,21,30,168.2
3800000,3800000,1159612,29805,22,30,172.9
3900000,3900000,1191184,31572,24,30,177.8
4000000,4000000,1222136,30952,19,30,182.6
4100000,4100000,1252194,30058,28,30,187.5
4200000,4200000,1283362,31168,21,30,192.2
4300000,4300000,1314632,31270,20,30,196.9
4400000,4400000,1344690,30058,20,30,201.7
4500000,4500000,1374959,30269,14,30,206.1
4600000,4600000,1405883,30924,17,30,210.7
4700000,4700000,1435299,29416,15,30,215.1
4800000,4800000,1466032,30733,22,30,220.0
4900000,4900000,1496722,30690,18,30,224.7
5000000,5000000,1526002,29280,23,30,229.2
5100000,5100000,1556372,30370,22,30,233.6
5200000,5200000,1578164,21792,19,30,238.0
5300000,5300000,1603359,25195,21,30,242.4
5400000,5400000,1633674,30315,23,30,247.0
5500000,5500000,1661451,27777,25,30,251.6
5600000,5600000,1692940,31489,20,30,256.6
5700000,5700000,1723081,30141,25,30,261.1
5800000,5800000,1752460,29379,28,30,265.9
5900000,5900000,1782205,29745,24,30,270.7
6000000,6000000,1813518,31313,19,30,275.4
6100000,6100000,1842200,28682,20,30,279.9
6200000,6200000,1870795,28595,24,30,284.6
6300000,6300000,1901430,30635,17,30,289.5
6400000,6400000,1932061,30631,19,30,294.2
6500000,6500000,1962696,30635,23,30,299.0
6600000,6600000,1987202,24506,18,30,303.5
6700000,6700000,2017147,29945,26,30,308.1
6800000,6800000,2041880,24733,17,30,312.4
6900000,6900000,2070566,28686,21,30,316.9
7000000,7000000,2096424,25858,19,30,321.3
7100000,7100000,2120081,23657,17,30,325.6
7200000,7200000,2135841,15760,23,30,329.9
7300000,7300000,2164611,28770,21,30,334.5
7400000,7400000,2191474,26863,19,30,339.2
7500000,7500000,2221300,29826,25,30,343.8
7600000,7600000,2246227,24927,21,30,348.7
7700000,7700000,2277189,30962,20,31,353.8
7800000,7800000,2307594,30405,27,31,358.7
7900000,7900000,2338533,30939,26,32,363.8
8000000,8000000,2368583,30050,27,32,368.9
8100000,8100000,2391700,23117,21,32,373.8
8200000,8200000,2422668,30968,20,32,378.8
8300000,8300000,2451307,28639,24,32,383.6
8400000,8400000,2482891,31584,25,32,388.8
8500000,8500000,2513689,30798,23,32,393.7
8600000,8600000,2543351,29662,25,32,398.6
8700000,8700000,2574024,30673,23,32,403.6
8800000,8800000,2605589,31565,24,33,408.8
8900000,8900000,2636071,30482,29,33,414.0
9000000,9000000,2667012,30941,24,33,419.1
9100000,9100000,2698052,31040,20,33,424.1
9200000,9200000,2728443,30391,26,33,429.3
9300000,9300000,2759438,30995,25,33,434.6
9400000,9400000,2789726,30288,26,33,439.7
9500000,9500000,2821175,31449,27,33,444.9
9600000,9600000,2852044,30869,18,33,450.0
9700000,9700000,2872007,19963,29,33,454.9
9800000,9800000,2902372,30365,28,33,459.9
9900000,9900000,2933029,30657,26,33,464.8
10000000,10000000,2963163,30134,23,33,469.9
