Deep pass: 1,085 undecided BB(6) machines
Workers: 12  Output: /Users/gotrevor/src/collatz-cryptid/sim/bb6_deep_run/results.csv
[25/1085] decided=0 rate=271.6/min elapsed=0.1m eta=3.9m
[50/1085] decided=0 rate=292.0/min elapsed=0.2m eta=3.5m
[75/1085] decided=0 rate=285.8/min elapsed=0.3m eta=3.5m
[100/1085] decided=0 rate=292.1/min elapsed=0.3m eta=3.4m
[125/1085] decided=0 rate=316.6/min elapsed=0.4m eta=3.0m
[150/1085] decided=0 rate=328.9/min elapsed=0.5m eta=2.8m
[175/1085] decided=0 rate=345.3/min elapsed=0.5m eta=2.6m
[200/1085] decided=0 rate=358.3/min elapsed=0.6m eta=2.5m
[225/1085] decided=0 rate=367.6/min elapsed=0.6m eta=2.3m
[250/1085] decided=0 rate=375.8/min elapsed=0.7m eta=2.2m
[275/1085] decided=0 rate=384.0/min elapsed=0.7m eta=2.1m
[300/1085] decided=0 rate=392.0/min elapsed=0.8m eta=2.0m
[325/1085] decided=0 rate=395.5/min elapsed=0.8m eta=1.9m
[350/1085] decided=0 rate=402.3/min elapsed=0.9m eta=1.8m
[375/1085] decided=0 rate=408.7/min elapsed=0.9m eta=1.7m
[400/1085] decided=0 rate=369.6/min elapsed=1.1m eta=1.9m
[425/1085] decided=0 rate=252.8/min elapsed=1.7m eta=2.6m
[450/1085] decided=0 rate=203.8/min elapsed=2.2m eta=3.1m
[475/1085] decided=0 rate=192.2/min elapsed=2.5m eta=3.2m
[500/1085] decided=0 rate=184.4/min elapsed=2.7m eta=3.2m
[525/1085] decided=0 rate=183.1/min elapsed=2.9m eta=3.1m
[550/1085] decided=0 rate=184.7/min elapsed=3.0m eta=2.9m
[575/1085] decided=0 rate=182.6/min elapsed=3.1m eta=2.8m
[600/1085] decided=0 rate=183.8/min elapsed=3.3m eta=2.6m
[625/1085] decided=0 rate=186.7/min elapsed=3.3m eta=2.5m
[650/1085] decided=0 rate=186.4/min elapsed=3.5m eta=2.3m
[675/1085] decided=0 rate=185.3/min elapsed=3.6m eta=2.2m
[700/1085] decided=0 rate=182.8/min elapsed=3.8m eta=2.1m
[725/1085] decided=0 rate=180.2/min elapsed=4.0m eta=2.0m
[750/1085] decided=0 rate=174.3/min elapsed=4.3m eta=1.9m
[775/1085] decided=0 rate=174.2/min elapsed=4.4m eta=1.8m
[800/1085] decided=0 rate=177.2/min elapsed=4.5m eta=1.6m
[825/1085] decided=0 rate=180.3/min elapsed=4.6m eta=1.4m
[850/1085] decided=0 rate=179.9/min elapsed=4.7m eta=1.3m
[875/1085] decided=0 rate=175.5/min elapsed=5.0m eta=1.2m
[900/1085] decided=0 rate=175.6/min elapsed=5.1m eta=1.1m
[925/1085] decided=0 rate=177.4/min elapsed=5.2m eta=0.9m
[950/1085] decided=0 rate=179.6/min elapsed=5.3m eta=0.8m
[975/1085] decided=0 rate=182.2/min elapsed=5.4m eta=0.6m
[1000/1085] decided=0 rate=184.5/min elapsed=5.4m eta=0.5m
[1025/1085] decided=0 rate=186.5/min elapsed=5.5m eta=0.3m
[1050/1085] decided=0 rate=188.2/min elapsed=5.6m eta=0.2m
[1075/1085] decided=0 rate=189.0/min elapsed=5.7m eta=0.1m
DONE - 1085 results, 0 decided (0.00%)  -> /Users/gotrevor/src/collatz-cryptid/sim/bb6_deep_run/results.csv
