idx,tm,classification,quick_sim_elapsed,quick_sim_timeout,qs_halted,qs_proven_inf,qs_rules,qs_nonzeros,cps_small_elapsed,cps_small_timeout,cps_small_success,cps_small_inf_loop,cps_small_num_configs,cps_large_elapsed,cps_large_timeout,cps_large_success,cps_large_inf_loop,cps_large_num_configs,ctl2_b2_elapsed,ctl2_b2_timeout,ctl2_b2_success,ctl2_b2_iters,ctl2_b4_elapsed,ctl2_b4_timeout,ctl2_b4_success,ctl2_b4_iters,ctl3_b2_elapsed,ctl3_b2_timeout,ctl3_b2_success,ctl3_b2_iters,ctl3_b4_elapsed,ctl3_b4_timeout,ctl3_b4_success,ctl3_b4_iters
31,1RB0LB_1RC0LD_0LA1RD_1LC1LE_1LF0RE_1LD---,Unknown,0.39,False,False,False,0,119,0.36,False,False,False,1491,0.33,False,False,False,128,0.07,False,False,2,0.08,False,False,2,0.07,False,False,0,0.07,False,False,0
27,1RB1RD_1LC0LE_1LD0LB_0RB0RA_1RD1LF_0LC---,Unknown,0.56,False,False,False,48,7204,0.36,False,False,False,4948,0.34,False,False,False,1071,0.08,False,False,5,0.07,False,False,6,0.08,False,False,0,0.07,False,False,0
23,1RB1LC_1LA0RE_0LD---_1LB1LD_1RB1RF_0LA0RB,Unknown,0.75,False,False,False,11,390,0.42,False,False,False,11777,0.36,False,False,False,3052,0.07,False,False,3,0.07,False,False,1,0.08,False,False,0,0.08,False,False,0
22,1RB1RC_0LC1RE_1RA0LD_1LB0RD_0RF---_0RA0RF,Unknown,0.85,False,False,False,0,6680,0.37,False,False,False,10349,0.4,False,False,False,8942,0.07,False,False,1,0.07,False,False,2,0.08,False,False,0,0.08,False,False,0
32,1RB0LA_1RC---_1RD1RA_0RE1LC_1LF0RF_1LD0RC,Unknown,0.98,False,False,False,0,399,0.34,False,False,False,1593,0.33,False,False,False,193,0.08,False,False,3,0.09,False,False,5,0.08,False,False,0,0.08,False,False,0
30,1RB0LD_0RC0LE_1RD1RA_0RE1RF_1LF0RC_0LA---,Unknown,1.07,False,False,False,0,428,0.35,False,False,False,2649,0.34,False,False,False,1000,0.08,False,False,3,0.07,False,False,0,0.08,False,False,0,0.07,False,False,0
28,1RB0LA_0LC0RA_1LA1LD_1LC0LE_1RF0LF_0RB---,Unknown,1.08,False,False,False,0,491,0.36,False,False,False,3198,0.33,False,False,False,710,0.08,False,False,10,0.07,False,False,3,0.07,False,False,0,0.07,False,False,0
25,1RB1RE_1LC1RC_0RF1LD_1LE0LB_1LB0RA_---1RA,Unknown,1.33,False,False,False,0,1408,0.36,False,False,False,8022,0.33,False,False,False,1124,0.07,False,False,2,0.07,False,False,3,0.07,False,False,0,0.07,False,False,0
33,1RB0LC_1RC1RA_0RD1LE_1RE1RF_1LC0RB_---1RD,Unknown,1.42,False,False,False,0,1205,0.36,False,False,False,4491,0.37,False,False,False,1597,0.07,False,False,4,0.07,False,False,2,0.07,False,False,0,0.07,False,False,0
29,1RB1RA_1LC0RD_1LD1LB_1LE0LF_0RA---_0LB1LF,Unknown,1.61,False,False,False,0,554,0.36,False,False,False,4044,0.36,False,False,False,1358,0.07,False,False,5,0.07,False,False,5,0.07,False,False,0,0.07,False,False,0
