idx,tm,classification,lin_recur_elapsed,lin_recur_timeout,lr_decided,lr_period,lr_start,quick_sim_elapsed,quick_sim_timeout,qs_halted,qs_proven_inf,qs_rules,qs_nonzeros,cps_elapsed,cps_timeout,cps_success,cps_inf_loop,cps_num_configs,lin_recur_parse_error,quick_sim_parse_error,cps_parse_error
22,1RB1RC_0LC1RE_1RA0LD_1LB0RD_0RF---_0RA0RF,Unknown,1.26,False,False,0,0,0.19,False,False,False,0,1338,0.08,False,False,False,353,,,
25,1RB1RE_1LC1RC_0RF1LD_1LE0LB_1LB0RA_---1RA,Unknown,1.24,False,False,0,0,0.28,False,False,False,0,679,0.08,False,False,False,168,,,
28,1RB0LA_0LC0RA_1LA1LD_1LC0LE_1RF0LF_0RB---,Unknown,1.27,False,False,0,0,0.21,False,False,False,0,209,0.25,False,False,False,3706,,,
26,1RB1LC_1LA1RF_0RD1RD_0RA0LE_1LA0LE_0RC---,Unknown,1.28,False,False,0,0,0.16,False,False,False,0,274,0.39,False,False,False,5003,,,
23,1RB1LC_1LA0RE_0LD---_1LB1LD_1RB1RF_0LA0RB,Unknown,1.24,False,False,0,0,0.19,False,False,False,5,168,0.42,False,False,False,13213,,,
29,1RB1RA_1LC0RD_1LD1LB_1LE0LF_0RA---_0LB1LF,Unknown,1.25,False,False,0,0,0.27,False,False,False,0,227,0.4,False,False,False,8928,,,
24,1RB0LC_1RC1RA_1RD0RF_0LE---_1LA1LE_0RA1RF,Unknown,1.28,False,False,0,0,0.25,False,False,False,0,215,0.44,False,False,False,8186,,,
27,1RB1RD_1LC0LE_1LD0LB_0RB0RA_1RD1LF_0LC---,Unknown,1.31,False,False,0,0,0.33,False,False,False,2,259,0.35,False,False,False,5940,,,
30,1RB0LD_0RC0LE_1RD1RA_0RE1RF_1LF0RC_0LA---,Unknown,1.27,False,False,0,0,0.21,False,False,False,0,195,0.07,False,False,False,190,,,
31,1RB0LB_1RC0LD_0LA1RD_1LC1LE_1LF0RE_1LD---,Unknown,1.22,False,False,0,0,0.14,False,False,False,0,62,0.34,False,False,False,2954,,,
32,1RB0LA_1RC---_1RD1RA_0RE1LC_1LF0RF_1LD0RC,Unknown,1.23,False,False,0,0,0.22,False,False,False,0,188,0.33,False,False,False,2862,,,
34,1RB0RD_1RC0RA_0LA0LE_1LC1RF_1LA1LC_0RB---,Unknown,1.29,False,False,0,0,0.18,False,False,False,26,2020,0.36,False,False,False,6154,,,
33,1RB0LC_1RC1RA_0RD1LE_1RE1RF_1LC0RB_---1RD,Unknown,1.26,False,False,0,0,0.22,False,False,False,0,570,0.42,False,False,False,8459,,,
37,1RB0LB_1RC1LC_1LD1RE_---0LA_1LE0RF_1RA0LF,Unknown,1.24,False,False,0,0,0.18,False,False,False,0,180,0.33,False,False,False,3820,,,
35,1RB0RA_0LC0RF_0LB1RD_1LE---_1RA0LF_1LE0RC,Unknown,1.26,False,False,0,0,0.26,False,False,False,0,96,0.35,False,False,False,3372,,,
36,1RB1RB_0LC0LD_0LE1LD_1LB0RE_1RA0RF_1RD---,Unknown,1.33,False,False,0,0,0.25,False,False,False,0,209,0.51,False,False,False,12597,,,
39,1RB0LA_0RC1LE_0RD1RE_1LA1RF_1RB0LD_1RC---,Unknown,1.24,False,False,0,0,0.19,False,False,False,0,114,0.39,False,False,False,4163,,,
38,1RB0RE_1LC0LB_1RD0LB_1RF0LA_1RC---_0RA0LD,Unknown,1.23,False,False,0,0,0.44,False,False,False,0,1250,0.5,False,False,False,8866,,,
44,1RB1LD_1RC0RB_0LA1RE_1LA0LB_0RA0RF_---0LC,Unknown,1.26,False,False,0,0,0.21,False,False,False,0,130,0.07,False,False,False,119,,,
43,1RB1RF_1LC0LB_1RE1LD_1RE0LB_1RA0RE_---0RC,Unknown,1.26,False,False,0,0,0.14,False,False,False,0,56,0.39,False,False,False,10056,,,
42,1RB---_1LC0RF_1RF0LD_0LE1LC_0RC0LC_1RB0RA,Unknown,1.28,False,False,0,0,0.16,False,False,False,0,310,0.45,False,False,False,8683,,,
45,1RB1LD_0LC0RA_1RA1LC_1RE0LC_---1RF_0RD0RB,Unknown,1.28,False,False,0,0,0.2,False,False,False,0,221,0.46,False,False,False,8350,,,
40,1RB1LF_0LC0RE_1LA1RD_0LB1LB_1RC1RD_0LD---,Unknown,1.27,False,False,0,0,1.06,False,False,False,0,364,0.36,False,False,False,4662,,,
41,1RB0RE_1LC0RA_---0LD_1RE0LF_1RA0LB_1LD0LF,Unknown,1.28,False,False,0,0,0.14,False,False,False,0,393,1.45,False,False,False,9925,,,
46,1RB---_0RC1LC_1LD0RF_0LE0LD_0RF1LD_1RF1RA,Unknown,1.44,False,False,0,0,0.15,False,False,False,0,118,0.07,False,False,False,151,,,
47,1RB0LA_1RC0RB_1LD1RB_0LA0LE_---1LF_1LA1LC,Unknown,1.28,False,False,0,0,0.16,False,False,False,0,426,0.41,False,False,False,8676,,,
48,1RB0LE_1RC1RA_1RD0RF_1RE0RA_1LA1LD_1RA---,Unknown,1.23,False,False,0,0,0.22,False,False,False,0,176,0.49,False,False,False,18575,,,
49,1RB0LF_1RC0RB_0RD1LE_0LE0RA_1LC1LA_0LD---,Unknown,1.2,False,False,0,0,0.22,False,False,False,0,386,0.4,False,False,False,8445,,,
50,1RB0LF_1RC1RB_1LD0RA_1LA0LE_0LC1LC_1LE---,Unknown,1.26,False,False,0,0,0.31,False,False,False,3,1688,0.35,False,False,False,5502,,,
51,1RB0LB_1RC1LC_1LD1RE_---0LA_1RE0RF_1RA0LF,Unknown,1.22,False,False,0,0,0.16,False,False,False,0,131,0.29,False,False,False,3381,,,
52,1RB0RA_0LC1LF_1LE1LD_0LB---_1RA0LC_1LA1LC,Unknown,1.24,False,False,0,0,0.17,False,False,False,0,181,0.38,False,False,False,5215,,,
53,1RB0LD_1RC0RB_1RD1RF_1LE0LD_1RB1LA_---0RE,Unknown,1.27,False,False,0,0,0.15,False,False,False,0,131,0.47,False,False,False,9538,,,
54,1RB1RF_1LC0LF_---0LD_0LE1LD_0RF0LB_1RA1RE,Unknown,1.23,False,False,0,0,0.23,False,False,False,0,339,0.47,False,False,False,13448,,,
55,1RB0RD_1LC0LE_0RA0LB_1RC1RF_1LB1RD_0RC---,Unknown,1.26,False,False,0,0,0.2,False,False,False,28,355,0.34,False,False,False,2966,,,
56,1RB0LD_1RC1RB_1RD0RA_0LE1LF_---1LA_1LA0LC,Unknown,1.22,False,False,0,0,0.19,False,False,False,1,316,0.5,False,False,False,17886,,,
59,1RB0RA_0RC0LE_0LD1RA_1LB0RF_0LD1LC_1RD---,Unknown,1.26,False,False,0,0,0.23,False,False,False,0,981,0.07,False,False,False,100,,,
57,1RB---_0RC0RF_0RD0RA_1RE0LB_1LF0LE_1RC0LE,Unknown,1.23,False,False,0,0,0.18,False,False,False,0,170,0.66,False,False,False,27817,,,
58,1RB1RA_1RC0RE_0RD1LE_0LE---_1LF0LC_0RA1LC,Unknown,1.22,False,False,0,0,0.22,False,False,False,0,347,0.6,False,False,False,15768,,,
61,1RB---_1LC0RF_1LD0LC_0RE0LF_0RD1LA_1RB0LE,Unknown,1.25,False,False,0,0,0.24,False,False,False,0,102,0.35,False,False,False,3184,,,
60,1RB0RA_1LC0RA_0LD0LC_1RD1RE_1LF0LE_---0LB,Unknown,1.31,False,False,0,0,0.78,False,False,False,4,1351,0.49,False,False,False,16094,,,
62,1RB0RC_0LC0LE_1RA0RD_1LB1RF_1LC1LB_0RA---,Unknown,1.36,False,False,0,0,0.17,False,False,False,19,914,0.37,False,False,False,7995,,,
64,1RB0RA_1LC0RE_0LD0LB_1LA1LF_1RA0LF_1LC---,Unknown,1.35,False,False,0,0,0.14,False,False,False,0,1776,0.11,False,False,False,1910,,,
63,1RB0RC_1LA0LD_1RB0RD_1LE0RF_0LB0RB_1RC---,Unknown,1.25,False,False,0,0,0.25,False,False,False,0,98,0.39,False,False,False,9043,,,
65,1RB0LA_0RC0LE_0RD1RC_1LD1RE_1LA1RF_---0RB,Unknown,1.29,False,False,0,0,0.17,False,False,False,0,357,0.37,False,False,False,7156,,,
66,1RB1RE_1RC0RF_0LD---_1LE1LD_1RA0LB_0RE1RF,Unknown,1.25,False,False,0,0,0.25,False,False,False,0,181,0.39,False,False,False,7038,,,
68,1RB1RF_1LC0LB_1RE0LD_1LB0RF_0RA0RC_1RE---,Unknown,1.34,False,False,0,0,0.14,False,False,False,0,1572,0.07,False,False,False,609,,,
70,1RB1RF_0RC0LE_1RD0RF_1LB---_1LB1LE_1RA0LC,Unknown,1.21,False,False,0,0,0.18,False,False,False,0,91,0.19,False,False,False,4218,,,
71,1RB---_1RC1LE_1RD0RC_0LB1RF_1LB0LE_1RA0RE,Unknown,1.32,False,False,0,0,0.14,False,False,False,0,86,0.11,False,False,False,868,,,
69,1RB1RF_1RC1RA_1LD0LA_---0LE_0LF1LE_0RA0LC,Unknown,1.24,False,False,0,0,0.21,False,False,False,0,344,0.48,False,False,False,13907,,,
73,1RB0RD_0RC---_1LD0RC_1RE0LE_1RF1LE_0LD1RA,Unknown,1.23,False,False,0,0,0.13,False,False,False,0,114,0.34,False,False,False,2700,,,
72,1RB0LD_0RC---_0RD0RF_1LE0LA_1LF1LE_1RA0RD,Unknown,1.31,False,False,0,0,0.33,False,False,False,0,1332,0.34,False,False,False,5502,,,
74,1RB1RA_0LC0RA_1LF0LD_1LE0RC_1LB1LD_1RB---,Unknown,1.25,False,False,0,0,0.18,False,False,False,0,91,0.39,False,False,False,12530,,,
75,1RB1RA_1LC0RD_1LD1LB_1LE0LF_0RA---_0LB1RE,Unknown,1.24,False,False,0,0,0.26,False,False,False,0,153,0.37,False,False,False,8304,,,
78,1RB0RC_0RC1RC_0LD0RA_1LE0LF_0LA1LC_---1LA,Unknown,1.21,False,False,0,0,0.25,False,False,False,0,434,0.08,False,False,False,580,,,
76,1RB1RE_0RC0RF_1LC1RD_1RA0LE_0RA0LD_0RA---,Unknown,1.25,False,False,0,0,0.19,False,False,False,0,1415,0.47,False,False,False,5839,,,
77,1RB0LE_1RC0LF_0LD0RC_1RA1LD_1LB0LE_---0RE,Unknown,1.24,False,False,0,0,0.15,False,False,False,0,101,0.53,False,False,False,5713,,,
80,1RB0RE_1LC0RA_1LA1LD_0LC1LF_0LB1RB_1RA---,Unknown,1.27,False,False,0,0,0.27,False,False,False,0,709,0.1,False,False,False,1077,,,
79,1RB0RA_1LC0RD_0LD0LB_1RA0LE_1LF---_0RA1LB,Unknown,1.27,False,False,0,0,0.48,False,False,False,4,499,0.17,False,False,False,4694,,,
81,1RB1RE_1LC0RA_1LD1LB_1LE0LF_1LA0LB_1LB---,Unknown,1.27,False,False,0,0,0.2,False,False,False,0,737,0.49,False,False,False,21163,,,
82,1RB0LE_1LC0RA_1RD0RC_1LA0LD_1LB0LF_1LC---,Unknown,1.26,False,False,0,0,0.18,False,False,False,0,83,0.33,False,False,False,3108,,,
84,1RB0RC_1RC1LB_1LD1RA_1LE0LB_---1LF_0LF0LC,Unknown,1.31,False,False,0,0,0.22,False,False,False,0,170,0.08,False,False,False,278,,,
85,1RB0LE_0RC0RA_1RD1RB_0LA0RB_1LF---_1LD1LF,Unknown,1.22,False,False,0,0,0.21,False,False,False,0,398,0.07,False,False,False,107,,,
86,1RB1RE_1LC0RD_1LD0LD_1RA0LC_0LB0RF_0RA---,Unknown,1.29,False,False,0,0,0.23,False,False,False,0,141,0.37,False,False,False,9741,,,
67,1RB1LB_1LC0LF_1LD0RC_1RE0LA_1RE1RC_---0LE,Unknown,1.16,False,False,0,0,5.63,False,False,False,0,1630,0.07,False,False,False,238,,,
87,1RB1LC_1LA0RD_1LA0LA_---1RE_1RB0RF_1RC0RA,Unknown,1.2,False,False,0,0,0.2,False,False,False,0,522,0.54,False,False,False,15930,,,
88,1RB1LE_1RC1RF_0RD0LB_1LD0RA_0LA0LE_0RC---,Unknown,1.25,False,False,0,0,0.24,False,False,False,0,172,0.15,False,False,False,593,,,
83,1RB1LD_0RC0RB_1LD1LA_0LE---_1LF0LD_1LA0LB,Unknown,1.28,False,False,0,0,0.14,False,False,False,0,917,1.4,False,False,False,8029,,,
89,1RB0RF_0LC---_1LD1LC_1RE0LA_1RA1RD_0RD1RF,Unknown,1.28,False,False,0,0,0.22,False,False,False,0,186,0.34,False,False,False,6630,,,
